"MES","PILOTO","n"
"01","Angel Valdez Alegria","21"
"01","Felipe Villatoro","20"
"01","Fernando Mariano Berrio","25"
"01","Hector Aragones Frutos","20"
"01","Hector Giron","18"
"01","Ismael Rodero Monteagudo","23"
"01","Juan Francisco Portillo Gomez","19"
"01","Luis Jaime Urbano","20"
"01","Pedro Alvarez Parejo","26"
"02","Angel Valdez Alegria","26"
"02","Felipe Villatoro","25"
"02","Fernando Mariano Berrio","19"
"02","Hector Aragones Frutos","21"
"02","Hector Giron","19"
"02","Ismael Rodero Monteagudo","20"
"02","Juan Francisco Portillo Gomez","23"
"02","Luis Jaime Urbano","26"
"02","Pedro Alvarez Parejo","24"
"03","Angel Valdez Alegria","20"
"03","Felipe Villatoro","23"
"03","Fernando Mariano Berrio","24"
"03","Hector Aragones Frutos","23"
"03","Hector Giron","14"
"03","Ismael Rodero Monteagudo","30"
"03","Juan Francisco Portillo Gomez","12"
"03","Luis Jaime Urbano","23"
"03","Pedro Alvarez Parejo","13"
"04","Angel Valdez Alegria","24"
"04","Felipe Villatoro","19"
"04","Fernando Mariano Berrio","27"
"04","Hector Aragones Frutos","27"
"04","Hector Giron","23"
"04","Ismael Rodero Monteagudo","18"
"04","Juan Francisco Portillo Gomez","15"
"04","Luis Jaime Urbano","21"
"04","Pedro Alvarez Parejo","22"
"05","Angel Valdez Alegria","23"
"05","Felipe Villatoro","18"
"05","Fernando Mariano Berrio","32"
"05","Hector Aragones Frutos","25"
"05","Hector Giron","25"
"05","Ismael Rodero Monteagudo","20"
"05","Juan Francisco Portillo Gomez","24"
"05","Luis Jaime Urbano","32"
"05","Pedro Alvarez Parejo","16"
"06","Angel Valdez Alegria","21"
"06","Felipe Villatoro","22"
"06","Fernando Mariano Berrio","20"
"06","Hector Aragones Frutos","24"
"06","Hector Giron","25"
"06","Ismael Rodero Monteagudo","23"
"06","Juan Francisco Portillo Gomez","14"
"06","Luis Jaime Urbano","28"
"06","Pedro Alvarez Parejo","20"
"07","Angel Valdez Alegria","20"
"07","Felipe Villatoro","27"
"07","Fernando Mariano Berrio","23"
"07","Hector Aragones Frutos","22"
"07","Hector Giron","21"
"07","Ismael Rodero Monteagudo","31"
"07","Juan Francisco Portillo Gomez","25"
"07","Luis Jaime Urbano","19"
"07","Pedro Alvarez Parejo","23"
"08","Angel Valdez Alegria","18"
"08","Felipe Villatoro","32"
"08","Fernando Mariano Berrio","23"
"08","Hector Aragones Frutos","16"
"08","Hector Giron","24"
"08","Ismael Rodero Monteagudo","23"
"08","Juan Francisco Portillo Gomez","23"
"08","Luis Jaime Urbano","17"
"08","Pedro Alvarez Parejo","23"
"09","Angel Valdez Alegria","22"
"09","Felipe Villatoro","17"
"09","Fernando Mariano Berrio","21"
"09","Hector Aragones Frutos","28"
"09","Hector Giron","23"
"09","Ismael Rodero Monteagudo","16"
"09","Juan Francisco Portillo Gomez","14"
"09","Luis Jaime Urbano","23"
"09","Pedro Alvarez Parejo","24"
"10","Angel Valdez Alegria","19"
"10","Felipe Villatoro","27"
"10","Fernando Mariano Berrio","25"
"10","Hector Aragones Frutos","20"
"10","Hector Giron","19"
"10","Ismael Rodero Monteagudo","25"
"10","Juan Francisco Portillo Gomez","17"
"10","Luis Jaime Urbano","20"
"10","Pedro Alvarez Parejo","28"
"11","Angel Valdez Alegria","21"
"11","Felipe Villatoro","17"
"11","Fernando Mariano Berrio","28"
"11","Hector Aragones Frutos","22"
"11","Hector Giron","17"
"11","Ismael Rodero Monteagudo","15"
"11","Juan Francisco Portillo Gomez","26"
"11","Luis Jaime Urbano","17"
"11","Pedro Alvarez Parejo","34"
